geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
421010041011000,1254,Greenwich,,135,45,4260000
421010041011001,1254,Greenwich,,124,44,4260000
421010041011002,1254,Greenwich,,57,27,4260000
421010041011003,1254,Greenwich,,129,45,4260000
421010041011004,1254,Greenwich,,64,32,4260000
421010041011005,1254,Greenwich,,60,29,4260000
421010041011006,1254,Greenwich,,106,31,4260000
421010041011007,1254,Greenwich,,77,37,4260000
421010041011008,1254,Greenwich,,27,8,4260000
421010041011009,1254,Greenwich,,85,35,4260000
421010041011010,1254,Greenwich,,60,32,4260000
421010041011011,1254,Greenwich,,105,43,4260000
421010041014000,1254,Greenwich,,150,52,4260000
421010041014001,1254,Greenwich,,0,0,4260000
421010041014005,1254,Greenwich,,141,56,4260000
421010041014006,1254,Greenwich,,52,29,4260000
421010041014007,1254,Greenwich,,92,40,4260000
421010041014010,1254,Greenwich,,145,46,4260000
421010041014011,1254,Greenwich,,88,43,4260000
421010041014012,1254,Greenwich,,59,15,4260000
421010041014013,1254,Greenwich,,69,23,4260000
421010041014014,1254,Greenwich,,176,52,4260000
421010041014015,1254,Greenwich,,120,51,4260000
421010042014004,1254,Greenwich,,125,56,4260000
421010042014005,1254,Greenwich,,93,43,4260000
421010042014006,1254,Greenwich,,137,53,4260000
421010042014007,1254,Greenwich,,123,45,4260000
421010042014008,1254,Greenwich,,70,33,4260000
421010042014015,1254,Greenwich,,113,45,4260000
421010029001007,1301,Newbold,,0,0,4260000
421010029001008,1301,Newbold,,0,0,4260000
421010029001009,1301,Newbold,,0,0,4260000
421010029001010,1301,Newbold,,0,0,4260000
421010029001011,1301,Newbold,,4,1,4260000
421010029001022,1301,Newbold,,0,0,4260000
421010029001023,1301,Newbold,,0,0,4260000
421010029002006,1301,Newbold,,0,0,4260000
421010029002010,1301,Newbold,,0,0,4260000
421010030011000,1301,Newbold,,101,72,4260000
421010030011001,1301,Newbold,,187,62,4260000
421010030011002,1301,Newbold,,172,57,4260000
421010030011003,1301,Newbold,,208,63,4260000
421010030011004,1301,Newbold,,134,58,4260000
421010030012000,1301,Newbold,,0,0,4260000
421010030012001,1301,Newbold,,163,57,4260000
421010030012002,1301,Newbold,,72,33,4260000
421010030012003,1301,Newbold,,0,0,4260000
421010030012004,1301,Newbold,,147,71,4260000
421010030012005,1301,Newbold,,116,56,4260000
421010030012006,1301,Newbold,,116,51,4260000
421010030012007,1301,Newbold,,164,63,4260000
421010030013000,1301,Newbold,,125,56,4260000
421010030013001,1301,Newbold,,163,58,4260000
421010030013002,1301,Newbold,,164,59,4260000
421010030013003,1301,Newbold,,149,56,4260000
421010030013004,1301,Newbold,,120,44,4260000
421010030013005,1301,Newbold,,92,42,4260000
421010030013006,1301,Newbold,,175,68,4260000
421010030013007,1301,Newbold,,119,54,4260000
421010030014000,1301,Newbold,,186,57,4260000
421010030014001,1301,Newbold,,140,55,4260000
421010030014002,1301,Newbold,,141,56,4260000
421010030014003,1301,Newbold,,163,56,4260000
421010030014004,1301,Newbold,,159,54,4260000
421010030014005,1301,Newbold,,169,55,4260000
421010030014006,1301,Newbold,,160,55,4260000
421010030014007,1301,Newbold,,148,68,4260000
421010030015000,1301,Newbold,,189,58,4260000
421010030015001,1301,Newbold,,123,52,4260000
421010030015002,1301,Newbold,,155,56,4260000
421010030015003,1301,Newbold,,133,53,4260000
421010030015004,1301,Newbold,,109,48,4260000
